"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"1990년 6월","706.79","706.79","706.79","706.79","200.66M","-11.42%"
"1990년 5월","797.95","797.95","797.95","797.95","251.58M","15.87%"
"1990년 4월","688.66","688.66","688.66","688.66","216.81M","-18.10%"
"1990년 3월","840.89","840.89","840.89","840.89","272.48M","-2.40%"
"1990년 2월","861.59","861.59","861.59","861.59","238.84M","-3.86%"
"1990년 1월","896.16","896.16","896.16","896.16","316.71M","-1.49%"
"1989년 12월","909.72","909.72","909.72","909.72","352.57M","0.37%"
"1989년 11월","906.33","906.33","906.33","906.33","227.40M","1.38%"
"1989년 10월","894.02","894.02","894.02","894.02","155.51M","-5.13%"
"1989년 9월","942.41","942.41","942.41","942.41","283.60M","-3.37%"
"1989년 8월","975.28","975.28","975.28","975.28","399.11M","8.89%"
"1989년 7월","895.66","895.66","895.66","895.66","236.72M","4.80%"
"1989년 6월","854.61","854.61","854.61","854.61","202.20M","-8.38%"
"1989년 5월","932.76","932.76","932.76","932.76","181.40M","-0.83%"
"1989년 4월","940.54","940.54","940.54","940.54","329.96M","-6.26%"
"1989년 3월","1,003.31","1,003.31","1,003.31","1,003.31","481.96M","9.30%"
"1989년 2월","917.90","917.90","917.90","917.90","282.38M","3.80%"
"1989년 1월","884.29","884.29","884.29","884.29","264.65M","-2.53%"
"1988년 12월","907.20","907.20","907.20","907.20","404.52M","9.15%"
"1988년 11월","831.12","831.12","831.12","831.12","383.40M","13.88%"
"1988년 10월","729.79","729.79","729.79","729.79","250.40M","7.71%"
"1988년 9월","677.54","677.54","677.54","677.54","145.91M","1.97%"
"1988년 8월","664.43","664.43","664.43","664.43","237.15M","-7.86%"
"1988년 7월","721.08","721.08","721.08","721.08","213.56M","2.60%"
"1988년 6월","702.83","702.83","702.83","702.83","244.01M","-2.02%"
"1988년 5월","717.35","717.35","717.35","717.35","266.47M","10.84%"
"1988년 4월","647.18","647.18","647.18","647.18","154.34M","-1.42%"
"1988년 3월","656.47","656.47","656.47","656.47","166.64M","7.21%"
"1988년 2월","612.35","612.35","612.35","612.35","240.86M","-3.35%"
"1988년 1월","633.58","633.58","633.58","633.58","330.05M","20.66%"
"1987년 12월","525.11","525.11","525.11","525.11","173.64M","10.41%"
"1987년 11월","475.59","475.59","475.59","475.59","111.94M","-6.57%"
"1987년 10월","509.05","509.05","509.05","509.05","100.95M","4.88%"
"1987년 9월","485.35","485.35","485.35","485.35","125.24M","2.39%"
"1987년 8월","474.01","474.01","474.01","474.01","175.50M","-2.36%"
"1987년 7월","485.48","485.48","485.48","485.48","206.14M","17.90%"
"1987년 6월","411.76","411.76","411.76","411.76","119.48M","6.13%"
"1987년 5월","387.99","387.99","387.99","387.99","133.55M","8.19%"
"1987년 4월","358.63","358.63","358.63","358.63","116.84M","-11.48%"
"1987년 3월","405.13","405.13","405.13","405.13","202.07M","20.94%"
"1987년 2월","334.98","334.98","334.98","334.98","117.05M","7.98%"
"1987년 1월","310.22","310.22","310.22","310.22","78.88M","13.80%"
"1986년 12월","272.61","272.61","272.61","272.61","74.44M","1.35%"
"1986년 11월","268.98","268.98","268.98","268.98","68.62M","11.71%"
"1986년 10월","240.79","240.79","240.79","240.79","37.52M","-5.00%"
"1986년 9월","253.45","253.45","253.45","253.45","46.98M","-4.23%"
"1986년 8월","264.64","264.64","264.64","264.64","66.42M","-3.33%"
"1986년 7월","273.75","273.75","273.75","273.75","110.12M","12.49%"
"1986년 6월","243.36","243.36","243.36","243.36","110.78M","5.32%"
"1986년 5월","231.06","231.06","231.06","231.06","87.10M","13.87%"
"1986년 4월","202.91","202.91","202.91","202.91","138.60M","1.58%"
"1986년 3월","199.76","199.76","199.76","199.76","134.23M","13.56%"
"1986년 2월","175.91","175.91","175.91","175.91","100.69M","9.66%"
"1986년 1월","160.42","160.42","160.42","160.42","60.78M","-1.81%"
"1985년 12월","163.37","163.37","163.37","163.37","89.77M","8.80%"
"1985년 11월","150.16","150.16","150.16","150.16","70.30M","6.58%"
"1985년 10월","140.89","140.89","140.89","140.89","66.31M","1.43%"
"1985년 9월","138.91","138.91","138.91","138.91","41.43M","1.77%"
"1985년 8월","136.49","136.49","136.49","136.49","51.29M","-0.65%"
"1985년 7월","137.38","137.38","137.38","137.38","33.40M","0.59%"
"1985년 6월","136.58","136.58","136.58","136.58","43.30M","1.86%"
"1985년 5월","134.09","134.09","134.09","134.09","26.78M","-0.04%"
"1985년 4월","134.15","134.15","134.15","134.15","44.28M","-1.69%"
"1985년 3월","136.46","136.46","136.46","136.46","38.93M","1.13%"
"1985년 2월","134.93","134.93","134.93","134.93","27.64M","-2.86%"
"1985년 1월","138.90","138.90","138.90","138.90","47.05M","-2.50%"
"1984년 12월","142.46","142.46","142.46","142.46","48.79M","5.11%"
"1984년 11월","135.54","135.54","135.54","135.54","33.77M","4.41%"
"1984년 10월","129.82","129.82","129.82","129.82","21.18M","-3.22%"
"1984년 9월","134.14","134.14","134.14","134.14","25.12M","-1.45%"
"1984년 8월","136.11","136.11","136.11","136.11","37.05M","1.17%"
"1984년 7월","134.54","134.54","134.54","134.54","48.16M","3.27%"
"1984년 6월","130.28","130.28","130.28","130.28","29.32M","-0.15%"
"1984년 5월","130.48","130.48","130.48","130.48","31.19M","-3.78%"
"1984년 4월","135.60","135.60","135.60","135.60","42.90M","1.69%"
"1984년 3월","133.35","133.35","133.35","133.35","34.83M","2.85%"
"1984년 2월","129.66","129.66","129.66","129.66","65.69M","4.50%"
"1984년 1월","124.08","124.08","124.08","124.08","32.47M","2.37%"
"1983년 12월","121.21","121.21","121.21","121.21","23.70M","3.04%"
"1983년 11월","117.63","117.63","117.63","117.63","23.76M","-3.12%"
"1983년 10월","121.42","121.42","121.42","121.42","21.50M","3.15%"
"1983년 9월","117.71","117.71","117.71","117.71","21.42M","-0.93%"
"1983년 8월","118.82","118.82","118.82","118.82","14.56M","-4.97%"
"1983년 7월","125.04","125.04","125.04","125.04","14.98M","2.12%"
"1983년 6월","122.44","122.44","122.44","122.44","17.58M","-2.64%"
"1983년 5월","125.76","125.76","125.76","125.76","31.20M","-4.32%"
"1983년 4월","131.44","131.44","131.44","131.44","45.33M","9.72%"
"1983년 3월","119.80","119.80","119.80","119.80","23.40M","-3.00%"
"1983년 2월","123.50","123.50","123.50","123.50","25.50M","4.42%"
"1983년 1월","118.27","118.27","118.27","118.27","27.80M","-8.31%"
"1982년 12월","128.99","128.99","128.99","128.99","33.80M","4.31%"
"1982년 11월","123.66","123.66","123.66","123.66","25.99M","1.44%"
"1982년 10월","121.91","121.91","121.91","121.91","24.90M","1.84%"
"1982년 9월","119.71","119.71","119.71","119.71","25.18M","-1.83%"
"1982년 8월","121.94","121.94","121.94","121.94","26.04M","-2.51%"
"1982년 7월","125.08","125.08","125.08","125.08","29.70M","1.16%"
"1982년 6월","123.64","123.64","123.64","123.64","25.04M","7.92%"
"1982년 5월","114.57","114.57","114.57","114.57","26.13M","-5.63%"
"1982년 4월","121.40","121.40","121.40","121.40","12.92M","-5.03%"
"1982년 3월","127.83","127.83","127.83","127.83","28.83M","-0.74%"
"1982년 2월","128.78","128.78","128.78","128.78","30.10M","2.49%"
"1982년 1월","125.65","125.65","125.65","125.65","22.79M","-4.30%"
"1981년 12월","131.30","131.30","131.30","131.30","18.07M","-0.83%"
"1981년 11월","132.40","132.40","132.40","132.40","20.69M","7.64%"
"1981년 10월","123.00","123.00","123.00","123.00","13.60M","-7.03%"
"1981년 9월","132.30","132.30","132.30","132.30","19.31M","-5.57%"
"1981년 8월","140.10","140.10","140.10","140.10","20.63M","-5.40%"
"1981년 7월","148.10","148.10","148.10","148.10","41.03M","-1.79%"
"1981년 6월","150.80","150.80","150.80","150.80","57.85M","19.40%"
"1981년 5월","126.30","126.30","126.30","126.30","34.75M","3.19%"
